date,open,high,low,close,volume
2024-05-02,1040.00,1050.00,1030.00,1040.00,190000
2024-05-03,1037.42,1048.04,1027.42,1038.04,192000
2024-05-06,1031.19,1042.36,1021.19,1032.36,194000
2024-05-07,1021.89,1033.51,1011.89,1023.51,196000
2024-05-08,1010.46,1022.36,1000.46,1012.36,198000
2024-05-09,998.00,1010.00,988.00,1000.00,200000
2024-05-10,985.74,997.64,975.74,987.64,202000
2024-05-13,974.87,986.49,964.87,976.49,204000
2024-05-14,966.46,977.64,956.46,967.64,206000
2024-05-15,961.34,971.96,951.34,961.96,208000
2024-05-16,960.00,970.00,950.00,960.00,210000
2024-05-17,962.58,972.58,951.96,961.96,212000
2024-05-20,968.81,978.81,957.64,967.64,214000
2024-05-21,978.11,988.11,966.49,976.49,216000
2024-05-22,989.54,999.54,977.64,987.64,218000
2024-05-23,1002.00,1012.00,990.00,1000.00,180000
2024-05-24,1014.26,1024.26,1002.36,1012.36,182000
2024-05-27,1025.13,1035.13,1013.51,1023.51,184000
2024-05-28,1033.54,1043.54,1022.36,1032.36,186000
2024-05-29,1038.66,1048.66,1028.04,1038.04,188000
2024-05-30,1040.00,1050.00,1030.00,1040.00,190000
2024-05-31,1037.42,1048.04,1027.42,1038.04,192000
2024-06-03,1031.19,1042.36,1021.19,1032.36,194000
2024-06-04,1021.89,1033.51,1011.89,1023.51,196000
2024-06-05,1010.46,1022.36,1000.46,1012.36,198000
2024-06-06,998.00,1010.00,988.00,1000.00,200000
2024-06-07,985.74,997.64,975.74,987.64,202000
2024-06-10,974.87,986.49,964.87,976.49,204000
2024-06-11,966.46,977.64,956.46,967.64,206000
2024-06-12,961.34,971.96,951.34,961.96,208000
2024-06-13,960.00,970.00,950.00,960.00,210000
2024-06-14,962.58,972.58,951.96,961.96,212000
2024-06-17,968.81,978.81,957.64,967.64,214000
2024-06-18,978.11,988.11,966.49,976.49,216000
2024-06-19,989.54,999.54,977.64,987.64,218000
2024-06-20,1002.00,1012.00,990.00,1000.00,180000
2024-06-21,1014.26,1024.26,1002.36,1012.36,182000
2024-06-24,1025.13,1035.13,1013.51,1023.51,184000
2024-06-25,1033.54,1043.54,1022.36,1032.36,186000
2024-06-26,1038.66,1048.66,1028.04,1038.04,188000
2024-06-27,1040.00,1050.00,1030.00,1040.00,190000
2024-06-28,1037.42,1048.04,1027.42,1038.04,192000
2024-07-01,1031.19,1042.36,1021.19,1032.36,194000
2024-07-02,1021.89,1033.51,1011.89,1023.51,196000
2024-07-03,1010.46,1022.36,1000.46,1012.36,198000
2024-07-04,998.00,1010.00,988.00,1000.00,200000
2024-07-05,985.74,997.64,975.74,987.64,202000
2024-07-08,974.87,986.49,964.87,976.49,204000
2024-07-09,966.46,977.64,956.46,967.64,206000
2024-07-10,961.34,971.96,951.34,961.96,208000
2024-07-11,960.00,970.00,950.00,960.00,210000
2024-07-12,962.58,972.58,951.96,961.96,212000
2024-07-15,968.81,978.81,957.64,967.64,214000
2024-07-16,978.11,988.11,966.49,976.49,216000
2024-07-17,989.54,999.54,977.64,987.64,218000
2024-07-18,1002.00,1012.00,990.00,1000.00,180000
2024-07-19,1014.26,1024.26,1002.36,1012.36,182000
2024-07-22,1025.13,1035.13,1013.51,1023.51,184000
2024-07-23,1033.54,1043.54,1022.36,1032.36,186000
2024-07-24,1038.66,1048.66,1028.04,1038.04,188000
2024-07-25,1040.00,1050.00,1030.00,1040.00,190000
2024-07-26,1037.42,1048.04,1027.42,1038.04,192000
2024-07-29,1031.19,1042.36,1021.19,1032.36,194000
2024-07-30,1021.89,1033.51,1011.89,1023.51,196000
2024-07-31,1010.46,1022.36,1000.46,1012.36,198000
2024-08-01,998.00,1010.00,988.00,1000.00,200000
2024-08-02,985.74,997.64,975.74,987.64,202000
2024-08-05,974.87,986.49,964.87,976.49,204000
2024-08-06,966.46,977.64,956.46,967.64,206000
2024-08-07,961.34,971.96,951.34,961.96,208000
2024-08-08,960.00,970.00,950.00,960.00,210000
2024-08-09,962.58,972.58,951.96,961.96,212000
2024-08-12,968.81,978.81,957.64,967.64,214000
2024-08-13,978.11,988.11,966.49,976.49,216000
2024-08-14,989.54,999.54,977.64,987.64,218000
2024-08-15,1002.00,1012.00,990.00,1000.00,180000
2024-08-16,1014.26,1024.26,1002.36,1012.36,182000
2024-08-19,1025.13,1035.13,1013.51,1023.51,184000
2024-08-20,1033.54,1043.54,1022.36,1032.36,186000
2024-08-21,1038.66,1048.66,1028.04,1038.04,188000
2024-08-22,1040.00,1050.00,1030.00,1040.00,190000
2024-08-23,1037.42,1048.04,1027.42,1038.04,192000
2024-08-26,1031.19,1042.36,1021.19,1032.36,194000
2024-08-27,1021.89,1033.51,1011.89,1023.51,196000
2024-08-28,1010.46,1022.36,1000.46,1012.36,198000
2024-08-29,998.00,1010.00,988.00,1000.00,200000
2024-08-30,985.74,997.64,975.74,987.64,202000
2024-09-02,974.87,986.49,964.87,976.49,204000
2024-09-03,966.46,977.64,956.46,967.64,206000
2024-09-04,961.34,971.96,951.34,961.96,208000
2024-09-05,960.00,970.00,950.00,960.00,210000
2024-09-06,962.58,972.58,951.96,961.96,212000
2024-09-09,968.81,978.81,957.64,967.64,214000
2024-09-10,978.11,988.11,966.49,976.49,216000
2024-09-11,989.54,999.54,977.64,987.64,218000
2024-09-12,1002.00,1012.00,990.00,1000.00,180000
2024-09-13,1014.26,1024.26,1002.36,1012.36,182000
2024-09-16,1025.13,1035.13,1013.51,1023.51,184000
2024-09-17,1033.54,1043.54,1022.36,1032.36,186000
2024-09-18,1038.66,1048.66,1028.04,1038.04,188000
2024-09-19,1040.00,1050.00,1030.00,1040.00,190000
2024-09-20,1037.42,1048.04,1027.42,1038.04,192000
2024-09-23,1031.19,1042.36,1021.19,1032.36,194000
2024-09-24,1021.89,1033.51,1011.89,1023.51,196000
2024-09-25,1010.46,1022.36,1000.46,1012.36,198000
2024-09-26,998.00,1010.00,988.00,1000.00,200000
2024-09-27,985.74,997.64,975.74,987.64,202000
2024-09-30,974.87,986.49,964.87,976.49,204000
2024-10-01,966.46,977.64,956.46,967.64,206000
2024-10-02,961.34,971.96,951.34,961.96,208000
2024-10-03,960.00,970.00,950.00,960.00,210000
2024-10-04,962.58,972.58,951.96,961.96,212000
2024-10-07,968.81,978.81,957.64,967.64,214000
2024-10-08,978.11,988.11,966.49,976.49,216000
2024-10-09,989.54,999.54,977.64,987.64,218000
2024-10-10,1002.00,1012.00,990.00,1000.00,180000
2024-10-11,1014.26,1024.26,1002.36,1012.36,182000
2024-10-14,1025.13,1035.13,1013.51,1023.51,184000
2024-10-15,1033.54,1043.54,1022.36,1032.36,186000
2024-10-16,1038.66,1048.66,1028.04,1038.04,188000
2024-10-17,1040.00,1050.00,1030.00,1040.00,190000
2024-10-18,1037.42,1048.04,1027.42,1038.04,192000
2024-10-21,1031.19,1042.36,1021.19,1032.36,194000
2024-10-22,1021.89,1033.51,1011.89,1023.51,196000
2024-10-23,1010.46,1022.36,1000.46,1012.36,198000
2024-10-24,998.00,1010.00,988.00,1000.00,200000
2024-10-25,985.74,997.64,975.74,987.64,202000
2024-10-28,974.87,986.49,964.87,976.49,204000
2024-10-29,966.46,977.64,956.46,967.64,206000
2024-10-30,961.34,971.96,951.34,961.96,208000
2024-10-31,960.00,970.00,950.00,960.00,210000
2024-11-01,962.58,972.58,951.96,961.96,212000
2024-11-04,968.81,978.81,957.64,967.64,214000
2024-11-05,978.11,988.11,966.49,976.49,216000
2024-11-06,989.54,999.54,977.64,987.64,218000
2024-11-07,1002.00,1012.00,990.00,1000.00,180000
2024-11-08,1014.26,1024.26,1002.36,1012.36,182000
2024-11-11,1025.13,1035.13,1013.51,1023.51,184000
2024-11-12,1033.54,1043.54,1022.36,1032.36,186000
2024-11-13,1038.66,1048.66,1028.04,1038.04,188000
2024-11-14,1040.00,1050.00,1030.00,1040.00,190000
2024-11-15,1037.42,1048.04,1027.42,1038.04,192000
2024-11-18,1031.19,1042.36,1021.19,1032.36,194000
2024-11-19,1021.89,1033.51,1011.89,1023.51,196000
2024-11-20,1010.46,1022.36,1000.46,1012.36,198000
2024-11-21,998.00,1010.00,988.00,1000.00,200000
2024-11-22,985.74,997.64,975.74,987.64,202000
2024-11-25,974.87,986.49,964.87,976.49,204000
2024-11-26,966.46,977.64,956.46,967.64,206000
2024-11-27,961.34,971.96,951.34,961.96,208000
2024-11-28,960.00,970.00,950.00,960.00,210000
2024-11-29,962.58,972.58,951.96,961.96,212000
2024-12-02,968.81,978.81,957.64,967.64,214000
2024-12-03,978.11,988.11,966.49,976.49,216000
2024-12-04,989.54,999.54,977.64,987.64,218000
2024-12-05,1002.00,1012.00,990.00,1000.00,180000
2024-12-06,1014.26,1024.26,1002.36,1012.36,182000
2024-12-09,1025.13,1035.13,1013.51,1023.51,184000
2024-12-10,1033.54,1043.54,1022.36,1032.36,186000
2024-12-11,1038.66,1048.66,1028.04,1038.04,188000
2024-12-12,1040.00,1050.00,1030.00,1040.00,190000
2024-12-13,1037.42,1048.04,1027.42,1038.04,192000
2024-12-16,1031.19,1042.36,1021.19,1032.36,194000
2024-12-17,1021.89,1033.51,1011.89,1023.51,196000
2024-12-18,1010.46,1022.36,1000.46,1012.36,198000
2024-12-19,998.00,1010.00,988.00,1000.00,200000
2024-12-20,985.74,997.64,975.74,987.64,202000
2024-12-23,974.87,986.49,964.87,976.49,204000
2024-12-24,966.46,977.64,956.46,967.64,206000
2024-12-25,961.34,971.96,951.34,961.96,208000
2024-12-26,960.00,970.00,950.00,960.00,210000
2024-12-27,962.58,972.58,951.96,961.96,212000
2024-12-30,968.81,978.81,957.64,967.64,214000
2024-12-31,978.11,988.11,966.49,976.49,216000
2025-01-01,989.54,999.54,977.64,987.64,218000
2025-01-02,1002.00,1012.00,990.00,1000.00,180000
2025-01-03,1014.26,1024.26,1002.36,1012.36,182000
2025-01-06,1025.13,1035.13,1013.51,1023.51,184000
2025-01-07,1033.54,1043.54,1022.36,1032.36,186000
2025-01-08,1038.66,1048.66,1028.04,1038.04,188000
2025-01-09,1040.00,1050.00,1030.00,1040.00,190000
2025-01-10,1037.42,1048.04,1027.42,1038.04,192000
2025-01-13,1031.19,1042.36,1021.19,1032.36,194000
2025-01-14,1021.89,1033.51,1011.89,1023.51,196000
2025-01-15,1010.46,1022.36,1000.46,1012.36,198000
2025-01-16,998.00,1010.00,988.00,1000.00,200000
2025-01-17,985.74,997.64,975.74,987.64,202000
2025-01-20,974.87,986.49,964.87,976.49,204000
2025-01-21,966.46,977.64,956.46,967.64,206000
2025-01-22,961.34,971.96,951.34,961.96,208000
2025-01-23,960.00,970.00,950.00,960.00,210000
2025-01-24,962.58,972.58,951.96,961.96,212000
2025-01-27,968.81,978.81,957.64,967.64,214000
2025-01-28,978.11,988.11,966.49,976.49,216000
2025-01-29,989.54,999.54,977.64,987.64,218000
2025-01-30,1002.00,1012.00,990.00,1000.00,180000
2025-01-31,1014.26,1024.26,1002.36,1012.36,182000
2025-02-03,1025.13,1035.13,1013.51,1023.51,184000
2025-02-04,1033.54,1043.54,1022.36,1032.36,186000
2025-02-05,1038.66,1048.66,1028.04,1038.04,188000
2025-02-06,1040.00,1050.00,1030.00,1040.00,190000
2025-02-07,1037.42,1048.04,1027.42,1038.04,192000
2025-02-10,1031.19,1042.36,1021.19,1032.36,194000
2025-02-11,1021.89,1033.51,1011.89,1023.51,196000
2025-02-12,1010.46,1022.36,1000.46,1012.36,198000
2025-02-13,998.00,1010.00,988.00,1000.00,200000
2025-02-14,985.74,997.64,975.74,987.64,202000
2025-02-17,974.87,986.49,964.87,976.49,204000
2025-02-18,966.46,977.64,956.46,967.64,206000
2025-02-19,961.34,971.96,951.34,961.96,208000
2025-02-20,960.00,970.00,950.00,960.00,210000
2025-02-21,962.58,972.58,951.96,961.96,212000
2025-02-24,968.81,978.81,957.64,967.64,214000
2025-02-25,978.11,988.11,966.49,976.49,216000
2025-02-26,989.54,999.54,977.64,987.64,218000
2025-02-27,1002.00,1012.00,990.00,1000.00,180000
2025-02-28,1014.26,1024.26,1002.36,1012.36,182000
2025-03-03,1025.13,1035.13,1013.51,1023.51,184000
2025-03-04,1033.54,1043.54,1022.36,1032.36,186000
2025-03-05,1038.66,1048.66,1028.04,1038.04,188000
2025-03-06,1040.00,1050.00,1030.00,1040.00,190000
2025-03-07,1037.42,1048.04,1027.42,1038.04,192000
2025-03-10,1031.19,1042.36,1021.19,1032.36,194000
2025-03-11,1021.89,1033.51,1011.89,1023.51,196000
2025-03-12,1010.46,1022.36,1000.46,1012.36,198000
2025-03-13,998.00,1010.00,988.00,1000.00,200000
2025-03-14,985.74,997.64,975.74,987.64,202000
2025-03-17,974.87,986.49,964.87,976.49,204000
2025-03-18,966.46,977.64,956.46,967.64,206000
2025-03-19,961.34,971.96,951.34,961.96,208000
2025-03-20,960.00,970.00,950.00,960.00,210000
2025-03-21,962.58,972.58,951.96,961.96,212000
2025-03-24,968.81,978.81,957.64,967.64,214000
2025-03-25,978.11,988.11,966.49,976.49,216000
2025-03-26,989.54,999.54,977.64,987.64,218000
